,titleID,Authors,Journal,publisher,year,cited_num,cites_per_year,date,cited_num_mod,cites_per_year_mod
0,Attention based pruning for shift networks,"Ghouthi Boukli Hacene, Carlos Lassance, Vincent Gripon, Matthieu Courbariaux, Yoshua Bengio",arXiv preprint arXiv:1905.12300,couldnt find,2019,15,8.282904689863843,2019-05-29,16,8.835098335854765
1,Laplacian networks: Bounding indicator function smoothness for neural network robustness,"Carlos Eduardo Rosar Kos Lassance, Vincent Gripon, Antonio Ortega",arXiv preprint arXiv:1805.10133,couldnt find,2018,13,4.602327837051407,2018-05-24,14,4.95635305528613
5,The Not-so-Distant Future: Distance-Bounding Protocols on Smartphones,"Sébastien Gambs, Carlos Eduardo Rosar Kos Lassance, Cristina Onete","Smart Card Research and Advanced Applications: 14th International Conference, CARDIS 2015, Bochum, Germany, November 4-6, 2015. Revised Selected Papers",Springer,2016,5,0.99835886214442,2016-03-18,6,1.198030634573304
7,A unified deep learning formalism for processing graph signals,"Myriam Bontonou, Carlos Lassance, Jean-Charles Vialatte, Vincent Gripon",arXiv preprint arXiv:1905.00496,couldnt find,2019,3,1.5892597968069666,2019-05-01,4,2.119013062409289
13,Representing deep neural networks latent space geometries with graphs,"Carlos Lassance, Vincent Gripon, Antonio Ortega",Algorithms,Multidisciplinary Digital Publishing Institute,2021,1,7.76595744680851,2021-02-01,2,15.53191489361702
14,Graphs for deep learning representations,Carlos Lassance,arXiv preprint arXiv:2012.07439,couldnt find,2020,0,0.0,2020-12-14,1,3.802083333333334
15,DecisiveNets: Training Deep Associative Memories to Solve Complex Machine Learning Problems,"Vincent Gripon, Carlos Lassance, Ghouthi Boukli Hacene",arXiv preprint arXiv:2012.01509,couldnt find,2020,0,0.0,2020-12-02,1,3.3796296296296298
16,Ranking Deep Learning Generalization using Label Variation in Latent Geometry Graphs,"Carlos Lassance, Louis Béthune, Myriam Bontonou, Mounia Hamidouche, Vincent Gripon",arXiv preprint arXiv:2011.12737,couldnt find,2020,0,0.0,2020-11-25,1,3.173913043478261
20,Microscopic understanding of magnetic interactions in bilayer,"Seung Woo Jang, Min Yong Jeong, Hongkee Yoon, Siheon Ryee, Myung Joon Han",Physical Review Materials,American Physical Society,2019,69,34.83402489626556,2019-03-28,70,35.33886583679115
21,Induced magnetic two-dimensionality by hole doping in the superconducting infinite-layer nickelate,"Siheon Ryee, Hongkee Yoon, Taek Jung Kim, Min Yong Jeong, Myung Joon Han",Physical Review B,American Physical Society,2020,41,38.37179487179487,2020-02-24,42,39.30769230769231
22,"Reliability and applicability of magnetic-force linear response theory: Numerical parameters, predictability, and orbital resolution","Hongkee Yoon, Taek Jung Kim, Jae-Hoon Sim, Seung Woo Jang, Taisuke Ozaki, Myung Joon Han",Physical Review B,American Physical Society,2018,25,8.318140382862351,2018-03-19,26,8.650865998176846
23,Analytic continuation via domain knowledge free machine learning,"Hongkee Yoon, Jae-Hoon Sim, Myung Joon Han",Physical Review B,American Physical Society,2018,17,7.40453460620525,2018-12-03,18,7.840095465393794
24,"Charge density functional plus U theory of LaMnO3: Phase diagram, electronic structure, and magnetic interaction","Seung Woo Jang, Siheon Ryee, Hongkee Yoon, Myung Joon Han",Physical Review B,American Physical Society,2018,12,3.928251121076233,2018-03-01,13,4.255605381165919
25,Calculating branching ratio and spin-orbit coupling from first principles: A formalism and its application to iridates,"Jae-Hoon Sim, Hongkee Yoon, Sang Hyeon Park, Myung Joon Han",Physical Review B,American Physical Society,2016,10,2.225609756097561,2016-09-22,11,2.448170731707317
26,Origin of ferromagnetism and the effect of doping on Fe 3 GeTe 2,"Seung Woo Jang, Hongkee Yoon, Min Yong Jeong, Siheon Ryee, Heung-Sik Kim, Myung Joon Han",Nanoscale,Royal Society of Chemistry,2020,6,4.932432432432432,2020-01-01,7,5.754504504504504
27,Calculating magnetic interactions in organic electrides,"Taek Jung Kim, Hongkee Yoon, Myung Joon Han",Physical review B,American Physical Society,2018,6,2.19438877755511,2018-06-26,7,2.5601202404809618
28,"Charge density functional plus U calculation of lacunar spinel GaM4Se8 (M= Nb, Mo, Ta, and W)","Hyunggeun Lee, Min Yong Jeong, Jae-Hoon Sim, Hongkee Yoon, Siheon Ryee, Myung Joon Han",EPL (Europhysics Letters),IOP Publishing,2019,5,2.5137741046831956,2019-03-25,6,3.0165289256198347
29,Parallel polymer tandem solar cells containing comb-shaped common electrodes,"Hee Yoon Han, Hongkee Yoon, Choon Sup Yoon",Solar Energy Materials and Solar Cells,North-Holland,2015,5,0.8039647577092511,2015-01-01,6,0.9647577092511013
30,Modified Granato–Lucke Theory with Pinning Length Distribution in Solid 4He,"Evan SH Kang, Hongkee Yoon, Eunseong Kim",Journal of the Physical Society of Japan,The Physical Society of Japan,2015,4,0.6645425580336823,2015-03-15,5,0.8306781975421029
