,titleID,Authors,Journal,publisher,year,cited_num,cites_per_year,date,cited_num_mod,cites_per_year_mod
0,WeFold: a coopetition for protein structure prediction,"George A Khoury, Adam Liwo, Firas Khatib, Hongyi Zhou, Gaurav Chopra, Jaume Bacardit, Leandro O Bortot, Rodrigo A Faccioli, Xin Deng, Yi He, Pawel Krupa, Jilong Li, Magdalena A Mozolewska, Adam K Sieradzan, James Smadbeck, Tomasz Wirecki, Seth Cooper, Jeff Flatten, Kefan Xu, David Baker, Jianlin Cheng, Alexandre CB Delbem, Christodoulos A Floudas, Chen Keasar, Michael Levitt, Zoran Popović, Harold A Scheraga, Jeffrey Skolnick, Silvia N Crivelli, Foldit Players","Proteins: Structure, Function, and Bioinformatics",couldnt find,2014,64,9.765886287625419,2014-09-01,65,9.918478260869566
1,ProteinShop: a tool for interactive protein manipulation and steering,"Silvia Crivelli, Oliver Kreylos, Bernd Hamann, Nelson Max, Wes Bethel",Journal of Computer-Aided Molecular Design,Kluwer Academic Publishers,2004,43,2.532677101823463,2004-04-01,44,2.5915765693077297
2,SEA domain proteolysis determines the functional composition of dystroglycan,"Armin Akhavan, Silvia N Crivelli, Manisha Singh, Vishwanath R Lingappa, John L Muschler",The FASEB Journal,Federation of American Societies for Experimental Biology,2008,40,3.0442035029190992,2008-02-01,41,3.1203085904920767
3,A physical approach to protein structure prediction,"Silvia Crivelli, Elizabeth Eskow, Brett Bader, Vincent Lamberti, Richard Byrd, Robert Schnabel, Teresa Head-Gordon",Biophysical Journal,Cell Press,2002,40,2.0803647762895414,2002-01-01,41,2.1323738956967797
4,Blind prediction of homo‐and hetero‐protein complexes: The CASP13‐CAPRI experiment,"Marc F Lensink, Guillaume Brysbaert, Nurul Nadzirin, Sameer Velankar, Raphaël AG Chaleil, Tereza Gerguri, Paul A Bates, Elodie Laine, Alessandra Carbone, Sergei Grudinin, Ren Kong, Ran‐ran Liu, Xi‐ming Xu, Hang Shi, Shan Chang, Miriam Eisenstein, Agnieszka Karczynska, Cezary Czaplewski, Emilia Lubecka, Agnieszka Lipska, Paweł Krupa, Magdalena Mozolewska, Łukasz Golon, Sergey Samsonov, Adam Liwo, Silvia Crivelli, Guillaume Pagès, Mikhail Karasikov, Maria Kadukova, Yumeng Yan, Sheng‐you Huang, Mireia Rosell, Luis A Rodríguez‐Lumbreras, Miguel Romero‐Durana, Lucía Díaz‐Bueno, Juan Fernandez‐Recio, Charles Christoffer, Genki Terashi, Woong‐hee Shin, Tunde Aderinwale, Sai Raghavendra Maddhuri Venkata Subraman, Daisuke Kihara, Dima Kozakov, Sandor Vajda, Kathryn Porter, Dzmitry Padhorny, Israel Desta, Dmitri Beglov, Mikhail Ignatov, Sergey Kotelnikov, Iain H Moal, David W Ritchie, Isaure Chauvot de Beauchêne, Bernard Maigret, Marie‐Dominique Devignes, Maria E Ruiz Echartea, Didier Barradas‐Bautista, Zhen Cao, Luigi Cavallo, Romina Oliva, Yue Cao, Yang Shen, Minkyung Baek, Taeyong Park, Hyeonuk Woo, Chaok Seok, Merav Braitbard, Lirane Bitton, Dina Scheidman‐Duhovny, Justas Dapkūnas, Kliment Olechnovič, Česlovas Venclovas, Petras J Kundrotas, Saveliy Belkin, Devlina Chakravarty, Varsha D Badal, Ilya A Vakser, Thom Vreven, Sweta Vangaveti, Tyler Borrman, Zhiping Weng, Johnathan D Guest, Ragul Gowthaman, Brian G Pierce, Xianjin Xu, Rui Duan, Liming Qiu, Jie Hou, Benjamin Ryan Merideth, Zhiwei Ma, Jianlin Cheng, Xiaoqin Zou, Panagiotis I Koukos, Jorge Roel‐Touris, Francesco Ambrosetti, Cunliang Geng, Jörg Schaarschmidt, Mikael E Trellet, Adrien SJ Melquiond, Li Xue, Brian Jiménez‐García, Charlotte W van Noort, Rodrigo V Honorato, Alexandre MJJ Bonvin, Shoshana J Wodak","Proteins: Structure, Function, and Bioinformatics","John Wiley & Sons, Inc.",2019,33,25.357894736842102,2019-12-01,34,26.126315789473683
6,Purely structural protein scoring functions using support vector machine and ensemble learning,"Shokoufeh Mirzaei, Tomer Sidi, Chen Keasar, Silvia Crivelli",IEEE/ACM transactions on computational biology and bioinformatics,IEEE,2016,25,5.467345715997602,2016-08-24,26,5.686039544637507
7,A global optimization strategy for predicting α-helical protein tertiary structure,"Silvia Crivelli, Richard Byrd, Elizabeth Eskow, Robert Schnabe, Richard Yu, Thomas M Philip, Teresa Head-Gordon",Computers & chemistry,Pergamon,2000,20,0.957000524383849,2000-05-01,21,1.0048505506030414
8,An analysis and evaluation of the WeFold collaborative for protein structure prediction and its pipelines in CASP11 and CASP12,"Chen Keasar, Liam J McGuffin, Björn Wallner, Gaurav Chopra, Badri Adhikari, Debswapna Bhattacharya, Lauren Blake, Leandro Oliveira Bortot, Renzhi Cao, BK Dhanasekaran, Itzhel Dimas, Rodrigo Antonio Faccioli, Eshel Faraggi, Robert Ganzynkowicz, Sambit Ghosh, Soma Ghosh, Artur Giełdoń, Lukasz Golon, Yi He, Lim Heo, Jie Hou, Main Khan, Firas Khatib, George A Khoury, Chris Kieslich, David E Kim, Pawel Krupa, Gyu Rie Lee, Hongbo Li, Jilong Li, Agnieszka Lipska, Adam Liwo, Ali Hassan A Maghrabi, Milot Mirdita, Shokoufeh Mirzaei, Magdalena A Mozolewska, Melis Onel, Sergey Ovchinnikov, Anand Shah, Utkarsh Shah, Tomer Sidi, Adam K Sieradzan, Magdalena Ślusarz, Rafal Ślusarz, James Smadbeck, Phanourios Tamamis, Nicholas Trieber, Tomasz Wirecki, Yanping Yin, Yang Zhang, Jaume Bacardit, Maciej Baranowski, Nicholas Chapman, Seth Cooper, Alexandre Defelicibus, Jeff Flatten, Brian Koepnick, Zoran Popović, Bartlomiej Zaborowski, David Baker, Jianlin Cheng, Cezary Czaplewski, Alexandre Cláudio Botazzo Delbem, Christodoulos Floudas, Andrzej Kloczkowski, Stanislaw Ołdziej, Michael Levitt, Harold Scheraga, Chaok Seok, Johannes Söding, Saraswathi Vishveshwara, Dong Xu, Silvia N Crivelli",Scientific reports,Nature Publishing Group,2018,17,6.255040322580645,2018-07-02,18,6.622983870967742
9,BuildBeta—a system for automatically constructing beta sheets,"Nelson Max, ChengCheng Hu, Oliver Kreylos, Silvia Crivelli","Proteins: Structure, Function, and Bioinformatics","Wiley Subscription Services, Inc., A Wiley Company",2010,13,1.1713157245124661,2010-02-15,14,1.261416934090348
10,A new load-balancing strategy for the solution of dynamical large-tree-search problems using a hierarchical approach,"Silvia Crivelli, Teresa Head-Gordon",IBM Journal of research and development,IBM,2004,13,0.7618818240205524,2004-03-01,14,0.8204881181759794
